1001,John Doe,Regular,"Blue Sky, Burning Fire"
1002,Jane Smith,Student,"Falling Rain, Ocean Wave, Bright Star"
1003,Alice Johnson,Student,"Silver Moon, Golden Sun"
1004,Bob Brown,Regular,"Tall Tree"
1005,Charlie Davis,Student,"Solid Rock, Cold Wind"
1006,himu,Regular,""
1007,rasel,Regular,""
1008,omar,Student,""
1009,rasel vai,Regular,""
1010,sajal,Regular,""
1011,piyal,Student,""
1012,razon,Student,""
1013,sajal,Regular,""
1014,,Student,""
1015,sajal,Regular,""
1016,fazlu,Regular,""
1017,tanu,Student,""
1018,saiful,Regular,""
1019,pilu,Regular,""
1020,saikat,Regular,""
1021,rio,Student,""
1022,,Regular,""
